Task name,Assignee,Assignee_status,Blocked by,Completed?,Created time,Due,Files,Is blocking,Last edited time,Parent-task,Priority,Project,Ref,Section,Status 1,Sub-tasks,Supporting work,Tags,Task type
Ch 11: Parliament-Based Allocation and Stakeholder Representation,,upcoming,,Not started,"October 16, 2025 12:30 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
Ch 10: Reusable Capital: Amplifying Public Investment Through Recycling,,upcoming,,Not started,"October 16, 2025 12:30 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
Ch 9: Entrants vs. Incumbents: The Central Policy Challenge,,upcoming,,Not started,"October 16, 2025 12:30 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
Ch 8: Clean Energy Credit Concentration and the Equity Failure,,upcoming,,Not started,"October 16, 2025 12:30 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
Ch 7: Religious Institutional Resources and Accountability for Social Decay,,upcoming,,Not started,"October 16, 2025 12:29 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
Ch 6: Municipal Solid Waste: The 812-Kilogram American,,upcoming,,Not started,"October 16, 2025 12:29 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
Ch 5: The Electric Vehicle Decarbonization Gap,,upcoming,,Not started,"October 16, 2025 12:29 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
Ch 4: Opportunity Cost and Strategic Misallocation: The Golden Dome Case,,upcoming,,Not started,"October 16, 2025 12:29 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
Ch 3: The Digital Divide and Rural Economic Exclusion,,upcoming,,Not started,"October 16, 2025 12:29 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
Ch 2: Educational Infrastructure Collapse and Intergenerational Theft,,upcoming,,Not started,"October 16, 2025 12:28 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
