Task name,Completed?,Assignee,Due,Priority,Assignee_status,Blocked by,Created time,Files,Is blocking,Last edited time,Parent-task,Project,Ref,Section,Status 1,Sub-tasks,Supporting work,Tags,Task type
Chapter 9: Entrants vs. Incumbents: The Central Policy Challenge,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 8: Clean Energy Credit Concentration and the Equity Failure,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 7: Religious Institutional Resources and Accountability for Social Decay,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 6: Municipal Solid Waste: The 812-Kilogram American in Marathon of Life,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 5: The Electric Vehicle Decarbonization Gap,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 3: The Digital Divide and Rural Economic Exclusion,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 4: Opportunity Cost and Strategic Misallocation: The Golden Dome Case,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 2: Educational Infrastructure Collapse and Intergenerational Theft,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
"Chapter 1: Currency, Competitiveness, and the Erosion of National Capacity",Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 25, 2025 6:39 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,A note to Hawkish Politicians (https://www.notion.so/0816b9d906e648ab99d17709f7314784?pvs=21),,,default_task
A note to Hawkish Politicians,Not started,,,,upcoming,,"October 24, 2025 5:36 PM (CDT)",,,"October 25, 2025 6:39 AM (CDT)","Chapter 1: Currency, Competitiveness, and the Erosion of National Capacity (https://www.notion.so/e0b3254ef5314c3cbb1a40579b5a4fd1?pvs=21)",Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Index,Not started,,,,upcoming,,"October 16, 2025 7:14 AM (CDT)",,,"October 16, 2025 7:14 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Bibliography,Not started,,,,upcoming,,"October 16, 2025 7:14 AM (CDT)",,,"October 16, 2025 7:14 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Appendix E: Case Studies,Not started,,,,upcoming,,"October 16, 2025 7:14 AM (CDT)",,,"October 16, 2025 7:14 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Appendix C: Economic Models and Assumptions,Not started,,,,upcoming,,"October 16, 2025 7:13 AM (CDT)",,,"October 16, 2025 7:13 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Appendix D: Data Sources and Methodology,Not started,,,,upcoming,,"October 16, 2025 7:13 AM (CDT)",,,"October 16, 2025 7:13 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Appendix B: Legislative Templates,Not started,,,,upcoming,,"October 16, 2025 7:13 AM (CDT)",,,"October 16, 2025 7:13 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Appendix A: Heatmap Gallery and Technical Data,Not started,,,,upcoming,,"October 16, 2025 7:13 AM (CDT)",,,"October 16, 2025 7:13 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 28: Prosecuting Inequity — The Path Forward,Not started,,,,upcoming,,"October 15, 2025 3:42 PM (CDT)",,,"October 15, 2025 3:44 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 27: Implementation Roadmap,Not started,,,,upcoming,,"October 15, 2025 3:40 PM (CDT)",,,"October 15, 2025 3:45 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 26: The Equity Imperative in Climate Investment,Not started,,,,upcoming,,"October 15, 2025 11:13 AM (CDT)",,,"October 15, 2025 11:13 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 25: Social Decay as Unified Metric,Not started,,,,upcoming,,"October 15, 2025 11:12 AM (CDT)",,,"October 15, 2025 11:12 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 23: Preventing Benefit Concentration in Hydrogen Deployment,Not started,,,,upcoming,,"October 15, 2025 11:11 AM (CDT)",,,"October 15, 2025 11:11 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 24: Climate Investment in the Age of Dollar Decline,Not started,,,,upcoming,,"October 15, 2025 11:11 AM (CDT)",,,"October 15, 2025 11:11 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 22: Institutional Mobilization: Religious Capital Deployment,Not started,,,,upcoming,,"October 15, 2025 11:09 AM (CDT)",,,"October 15, 2025 11:10 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 22: Institutional Mobilization: Religious Capital Deployment,Not started,,,,upcoming,,"October 15, 2025 11:05 AM (CDT)",,,"October 15, 2025 11:05 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 21: Regional Implementation: Missouri as Case Study,Not started,,,,upcoming,,"October 15, 2025 11:05 AM (CDT)",,,"October 15, 2025 3:11 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,Surgical Improvements,default_task
Chapter 20: Connecting Policy Guardrails to Technical Pathways,Not started,,,,upcoming,,"October 15, 2025 11:04 AM (CDT)",,,"October 15, 2025 11:04 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 19: End-Use Competition: Hydrogen vs. Battery-Electric Vehicles,Not started,,,,upcoming,,"October 15, 2025 11:04 AM (CDT)",,,"October 15, 2025 11:04 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 18: Comparative Analysis: Biomass vs. Coal vs. Natural Gas,Not started,,,,upcoming,,"October 15, 2025 11:03 AM (CDT)",,,"October 15, 2025 11:03 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 17: Financing Regimes and Macroeconomic Sensitivity,Not started,,,,upcoming,,"October 15, 2025 11:03 AM (CDT)",,,"October 15, 2025 11:03 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 15: Scaling Economics: Single Units to 100-Unit Clusters,Not started,,,,upcoming,,"October 15, 2025 11:02 AM (CDT)",,,"October 15, 2025 11:02 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 16: Operating Cost Structure and Sensitivity Analysis,Not started,,,,upcoming,,"October 15, 2025 11:03 AM (CDT)",,,"October 15, 2025 11:03 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 14: Feedstock Scenarios and Supply Chain Economics,Not started,,,,upcoming,,"October 15, 2025 11:02 AM (CDT)",,,"October 15, 2025 11:02 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 13: Biomass Gasification: Process Overview and Technology Options,Not started,,,,upcoming,,"October 15, 2025 11:02 AM (CDT)",,,"October 15, 2025 11:02 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 12: Performance Accountability and Conditional Benefits,Not started,,,,upcoming,,"October 15, 2025 11:01 AM (CDT)",,,"October 15, 2025 11:01 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 11: Parliament-Based Allocation and Stakeholder Representation,Not started,,,,upcoming,,"October 15, 2025 11:01 AM (CDT)",,,"October 25, 2025 6:39 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 10: Reusable Capital: Amplifying Public Investment Through Recycling,Not started,,,,upcoming,,"October 15, 2025 11:01 AM (CDT)",,,"October 15, 2025 11:01 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 9: Entrants vs. Incumbents: The Central Policy Challenge,Not started,,,,upcoming,,"October 15, 2025 11:01 AM (CDT)",,,"October 15, 2025 11:01 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 8: Clean Energy Credit Concentration and the Equity Failure,Not started,,,,upcoming,,"October 15, 2025 11:00 AM (CDT)",,,"October 15, 2025 11:00 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 7: Religious Institutional Resources and Accountability for Social Decay,Not started,,,,upcoming,,"October 15, 2025 11:00 AM (CDT)",,,"October 15, 2025 11:00 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 6: Municipal Solid Waste: The 812-Kilogram American in Marathon of Life,Not started,,,,upcoming,,"October 15, 2025 11:00 AM (CDT)",,,"October 15, 2025 12:18 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 5: The Electric Vehicle Decarbonization Gap,Not started,,,,upcoming,,"October 15, 2025 11:00 AM (CDT)",,,"October 15, 2025 12:48 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 3: The Digital Divide and Rural Economic Exclusion,Not started,,,,upcoming,,"October 15, 2025 10:59 AM (CDT)",,,"October 15, 2025 12:48 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 4: Opportunity Cost and Strategic Misallocation: The Golden Dome Case,Not started,,,,upcoming,,"October 15, 2025 11:00 AM (CDT)",,,"October 15, 2025 12:48 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Chapter 2: Educational Infrastructure Collapse and Intergenerational Theft,Not started,,,,upcoming,,"October 15, 2025 10:59 AM (CDT)",,,"October 15, 2025 12:48 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
"Chapter 1: Currency, Competitiveness, and the Erosion of National Capacity",Not started,,,,upcoming,,"October 15, 2025 10:59 AM (CDT)",,,"October 15, 2025 3:18 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters and subsections,,,,,default_task
Why America should not be trusted to lead the efforts on AI Ethics.,Not started,,,,upcoming,,"October 21, 2025 11:54 AM (CDT)",,,"October 25, 2025 6:27 AM (CDT)",,AI Ethics (https://www.notion.so/915e0bfe7fa442edaddb282995ddc951?pvs=21),,Central Arguments of Book,,,,,default_task
You cant make a bully behave ethically,Not started,,,,upcoming,,"October 21, 2025 11:54 AM (CDT)",,,"October 21, 2025 4:06 PM (CDT)",,AI Ethics (https://www.notion.so/915e0bfe7fa442edaddb282995ddc951?pvs=21),,Central Arguments of Book,,,,,default_task
Bias in lending-Americas long standing racially charged discriminatory practice,Not started,,,,upcoming,,"October 23, 2025 7:52 AM (CDT)",,,"October 23, 2025 8:30 AM (CDT)",,AI Ethics (https://www.notion.so/915e0bfe7fa442edaddb282995ddc951?pvs=21),,Central Arguments of Book,,,,,default_task
"Trump ranked world's best golf courses 1-8, all his own properties, bias much?",Not started,,,,upcoming,,"October 21, 2025 2:53 PM (CDT)",,,"October 31, 2025 3:53 PM (CDT)",,AI Ethics (https://www.notion.so/915e0bfe7fa442edaddb282995ddc951?pvs=21),,Central Arguments of Book,,,,,default_task
"Exhaustion of fact checkers in Trump-Biden election ",Not started,,,,upcoming,,"October 23, 2025 7:50 AM (CDT)",,,"October 23, 2025 7:51 AM (CDT)",,AI Ethics (https://www.notion.so/915e0bfe7fa442edaddb282995ddc951?pvs=21),,Central Arguments of Book,,,,,default_task
"Silent majority: rendered functionally voiceless, dispossessed of free speech",Not started,,,,upcoming,,"October 21, 2025 11:54 AM (CDT)",,,"October 21, 2025 3:22 PM (CDT)",,AI Ethics (https://www.notion.so/915e0bfe7fa442edaddb282995ddc951?pvs=21),,Central Arguments of Book,,,,,default_task
Not unduly discriminatory practices in states,Not started,,,,upcoming,,"October 31, 2025 3:47 PM (CDT)",,,"October 31, 2025 3:47 PM (CDT)",,AI Ethics (https://www.notion.so/915e0bfe7fa442edaddb282995ddc951?pvs=21),,Central Arguments of Book,,,,,default_task
═══ PART I: THE CONCENTRATION CRISIS ═══,Not started,,,,upcoming,,"October 17, 2025 11:53 PM (CDT)",,,"October 18, 2025 10:41 AM (CDT)",,AI Ethics (https://www.notion.so/915e0bfe7fa442edaddb282995ddc951?pvs=21),,PARTS,,,,,default_task
═══ PART II: GOVERNANCE ARCHITECTURE ═══,Not started,,,,upcoming,,"October 17, 2025 11:53 PM (CDT)",,,"October 18, 2025 10:41 AM (CDT)",,AI Ethics (https://www.notion.so/915e0bfe7fa442edaddb282995ddc951?pvs=21),,PARTS,,,,,default_task
═══ PART III: TECHNICAL INFRASTRUCTURE ═══,Not started,,,,upcoming,,"October 17, 2025 11:53 PM (CDT)",,,"October 18, 2025 10:41 AM (CDT)",,AI Ethics (https://www.notion.so/915e0bfe7fa442edaddb282995ddc951?pvs=21),,PARTS,,,,,default_task
═══ PART IV: INTEGRATION & IMPLEMENTATION ═══,Not started,,,,upcoming,,"October 17, 2025 11:53 PM (CDT)",,,"October 18, 2025 10:41 AM (CDT)",,AI Ethics (https://www.notion.so/915e0bfe7fa442edaddb282995ddc951?pvs=21),,PARTS,,,,,default_task
═══ PART V: SYNTHESIS & PATH FORWARD ═══,Not started,,,,upcoming,,"October 17, 2025 11:53 PM (CDT)",,,"October 19, 2025 4:12 PM (CDT)",,AI Ethics (https://www.notion.so/915e0bfe7fa442edaddb282995ddc951?pvs=21),,PARTS,,,,,default_task
Ch 1: AI Increasing Relevance and Market Concentration,Not started,,,,upcoming,,"October 17, 2025 11:18 PM (CDT)",,,"October 24, 2025 6:07 PM (CDT)",,AI Ethics (https://www.notion.so/915e0bfe7fa442edaddb282995ddc951?pvs=21),,Light Desc,,,,,default_task
Ch 2: Why Single Event Coincidences Can Capture General Trends,Not started,,,,upcoming,,"October 19, 2025 3:38 PM (CDT)",,,"October 19, 2025 4:14 PM (CDT)",,AI Ethics (https://www.notion.so/915e0bfe7fa442edaddb282995ddc951?pvs=21),,Light Desc,,,,,default_task
Ch 3: Data Literacy and Public Capacity Gaps,Not started,,,,upcoming,,"October 17, 2025 11:28 PM (CDT)",,,"October 19, 2025 3:39 PM (CDT)",,AI Ethics (https://www.notion.so/915e0bfe7fa442edaddb282995ddc951?pvs=21),,Light Desc,,,,,default_task
Ch 4: Algorithmic Exclusion and Access Barriers,Not started,,,,upcoming,,"October 17, 2025 11:41 PM (CDT)",,,"October 19, 2025 3:39 PM (CDT)",,AI Ethics (https://www.notion.so/915e0bfe7fa442edaddb282995ddc951?pvs=21),,Light Desc,,,,,default_task
