Task name,Assignee,Assignee_status,Blocked by,Completed?,Created time,Due,Files,Is blocking,Last edited time,Parent-task,Priority,Project,Ref,Section,Status 1,Sub-tasks,Supporting work,Tags,Task type
Chapter 20: Connecting Policy Guardrails to Technical Pathways,,upcoming,,Not started,"October 15, 2025 11:04 AM (CDT)",,,,"October 15, 2025 11:04 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 22: Institutional Mobilization: Religious Capital Deployment,,upcoming,,Not started,"October 15, 2025 11:05 AM (CDT)",,,,"October 15, 2025 11:05 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 22: Institutional Mobilization: Religious Capital Deployment,,upcoming,,Not started,"October 15, 2025 11:09 AM (CDT)",,,,"October 15, 2025 11:10 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 23: Preventing Benefit Concentration in Hydrogen Deployment,,upcoming,,Not started,"October 15, 2025 11:11 AM (CDT)",,,,"October 15, 2025 11:11 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 24: Climate Investment in the Age of Dollar Decline,,upcoming,,Not started,"October 15, 2025 11:11 AM (CDT)",,,,"October 15, 2025 11:11 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 25: Social Decay as Unified Metric,,upcoming,,Not started,"October 15, 2025 11:12 AM (CDT)",,,,"October 15, 2025 11:12 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 26: The Equity Imperative in Climate Investment,,upcoming,,Not started,"October 15, 2025 11:13 AM (CDT)",,,,"October 15, 2025 11:13 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 28: Prosecuting Inequity — The Path Forward,,upcoming,,Not started,"October 15, 2025 3:42 PM (CDT)",,,,"October 15, 2025 3:44 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 27: Implementation Roadmap,,upcoming,,Not started,"October 15, 2025 3:40 PM (CDT)",,,,"October 15, 2025 3:45 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Appendix A: Heatmap Gallery and Technical Data,,upcoming,,Not started,"October 16, 2025 7:13 AM (CDT)",,,,"October 16, 2025 7:13 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Appendix B: Legislative Templates,,upcoming,,Not started,"October 16, 2025 7:13 AM (CDT)",,,,"October 16, 2025 7:13 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Appendix C: Economic Models and Assumptions,,upcoming,,Not started,"October 16, 2025 7:13 AM (CDT)",,,,"October 16, 2025 7:13 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Appendix D: Data Sources and Methodology,,upcoming,,Not started,"October 16, 2025 7:13 AM (CDT)",,,,"October 16, 2025 7:13 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Appendix E: Case Studies,,upcoming,,Not started,"October 16, 2025 7:14 AM (CDT)",,,,"October 16, 2025 7:14 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Bibliography,,upcoming,,Not started,"October 16, 2025 7:14 AM (CDT)",,,,"October 16, 2025 7:14 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Index,,upcoming,,Not started,"October 16, 2025 7:14 AM (CDT)",,,,"October 16, 2025 7:14 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
A note to Hawkish Politicians,,upcoming,,Not started,"October 24, 2025 5:36 PM (CDT)",,,,"October 25, 2025 6:39 AM (CDT)","Chapter 1: Currency, Competitiveness, and the Erosion of National Capacity (Chapter%201%20Currency,%20Competitiveness,%20and%20the%20Erosi%20e0b3254ef5314c3cbb1a40579b5a4fd1.md)",,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
"Chapter 1: Currency, Competitiveness, and the Erosion of National Capacity",,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 25, 2025 6:39 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,A note to Hawkish Politicians (A%20note%20to%20Hawkish%20Politicians%200816b9d906e648ab99d17709f7314784.md),,,default_task
Chapter 2: Educational Infrastructure Collapse and Intergenerational Theft,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 3: The Digital Divide and Rural Economic Exclusion,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 4: Opportunity Cost and Strategic Misallocation: The Golden Dome Case,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 5: The Electric Vehicle Decarbonization Gap,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 6: Municipal Solid Waste: The 812-Kilogram American in Marathon of Life,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 7: Religious Institutional Resources and Accountability for Social Decay,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 9: Entrants vs. Incumbents: The Central Policy Challenge,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 8: Clean Energy Credit Concentration and the Equity Failure,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 10: Reusable Capital: Amplifying Public Investment Through Recycling,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 11: Parliament-Based Allocation and Stakeholder Representation,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 13: Biomass Gasification: Process Overview and Technology Options,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 12: Performance Accountability and Conditional Benefits,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 14: Feedstock Scenarios and Supply Chain Economics,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 15: Scaling Economics: Single Units to 100-Unit Clusters,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 16: Operating Cost Structure and Sensitivity Analysis,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 17: Financing Regimes and Macroeconomic Sensitivity,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 18: Comparative Analysis: Biomass vs. Coal vs. Natural Gas,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 19: End-Use Competition: Hydrogen vs. Battery-Electric Vehicles,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 20: Connecting Policy Guardrails to Technical Pathways,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 21: Regional Implementation: Missouri as Case Study,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 22: Institutional Mobilization: Religious Capital Deployment,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 23: Preventing Benefit Concentration in Hydrogen Deployment,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 25: Social Decay as Unified Metric,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 24: Climate Investment in the Age of Dollar Decline,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 26: The Equity Imperative in Climate Investment,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 27: Implementation Roadmap,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Chapter 28: Prosecuting Inequity — The Path Forward,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Appendix A: Heatmap Gallery and Technical Data,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Appendix B: Legislative Templates,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Appendix C: Economic Models and Assumptions,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Appendix D: Data Sources and Methodology,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
11.6 Electrician Union Worker from Albuquerque Who Ran for Office,,upcoming,,Not started,"October 15, 2025 5:47 PM (CDT)",,,,"October 25, 2025 6:40 AM (CDT)",Appendix E: Case Studies (Appendix%20E%20Case%20Studies%20ff1ef2fb6a3e444aac1c5b150194c080.md),,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Appendix E: Case Studies,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 25, 2025 6:51 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,change in child directory,11.6 Electrician Union Worker from Albuquerque Who Ran for Office (11%206%20Electrician%20Union%20Worker%20from%20Albuquerque%20Who%20073facdb0959459c8b12cbecc2bed3d6.md),,,default_task
Bibliography,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Index,,upcoming,,Not started,"October 24, 2025 4:00 PM (CDT)",,,,"October 24, 2025 4:00 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters,,,,,default_task
Ch 4 MAIN: Montana Missiles vs. Broadband - Strategic Absurdity Case Study,,upcoming,,Not started,"October 24, 2025 3:43 PM (CDT)",,,,"October 24, 2025 3:43 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,The Strategic Imperative of Anti-Missile Sky Coverage for America's Least Likely Target,,,,,default_task
Ch 1 HINT: Montana Missiles - Fiscal Priorities Revealed,,upcoming,,Not started,"October 24, 2025 3:43 PM (CDT)",,,,"October 24, 2025 3:43 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,The Strategic Imperative of Anti-Missile Sky Coverage for America's Least Likely Target,,,,,default_task
Ch 2 HINT: Montana Students - Education Without Infrastructure,,upcoming,,Not started,"October 24, 2025 3:43 PM (CDT)",,,,"October 24, 2025 3:43 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,The Strategic Imperative of Anti-Missile Sky Coverage for America's Least Likely Target,,,,,default_task
Ch 3 HINT: Montana Economic Returns - The 80:1 ROI We're Ignoring,,upcoming,,Not started,"October 24, 2025 3:43 PM (CDT)",,,,"October 24, 2025 3:43 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,The Strategic Imperative of Anti-Missile Sky Coverage for America's Least Likely Target,,,,,default_task
Ch 7 HINT: Montana Institutions - Can't Mobilize Without Infrastructure,,upcoming,,Not started,"October 24, 2025 3:43 PM (CDT)",,,,"October 24, 2025 3:43 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,The Strategic Imperative of Anti-Missile Sky Coverage for America's Least Likely Target,,,,,default_task
"Ch 21 HINT: Missouri-Montana Parallel - Same Absurdity, Different State",,upcoming,,Not started,"October 24, 2025 3:43 PM (CDT)",,,,"October 25, 2025 6:50 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,The Strategic Imperative of Anti-Missile Sky Coverage for America's Least Likely Target,,,,,default_task
