Block Title/Content,Block Content Preview,Block Position,Block Target URL,Block Type,Containing Page,Containing Page URL,Depth Level,Position Description,Scale 0 Page,Scale 0 URL,Scale 1 Page,Scale 1 URL,Scale 2 Page,Scale 2 URL,Scale 3 Page,Scale 3 URL,Scale Level,Total Blocks
Action Board,,13,https://www.notion.so/b71354b50fa047c892d7e473c2ade8cf,Page Link,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,0,13 of 13,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,,,,,,,1,13
Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,,2,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Page Link,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,1,2 of 3,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,,,,,2,3
Genre-Specific Assessment Protocols,,4,https://www.notion.so/39236ee503bc40299aa2539a6e7f72c4,Page Link,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,1,4 of 8,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,,,,,2,8
Linguistic Frameworks,,11,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,Page Link,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,0,11 of 13,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,,,,,,,1,13
Derivatives and disintegration of Borel measures on constrained simplices with integer-valued fields,,3,https://www.notion.so/aba943e67b3149108f41e347daa95664,Page Link,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,1,3 of 3,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,,,,,2,3
Coherence Assessment Procedures,,1,https://www.notion.so/e900e8b00d454cd6b880373be5ddf391,Page Link,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,1,1 of 8,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,,,,,2,8
Assessment Criteria Catalog and New data source,,2,https://www.notion.so/ef5b3d68ccdc475195379e44f2c5fdfb,Page Link,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,1,2 of 8,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,,,,,2,8
Quality Assurance Checklists,,6,https://www.notion.so/261539b640b843f986c30d5c270f0115,Page Link,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,1,6 of 8,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,,,,,2,8
Rubric-Based Scoring Protocols,,5,https://www.notion.so/3effbfbcff9a4eec8b3d1af5567aa3fa,Page Link,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,1,5 of 8,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,,,,,2,8
Layer-Level Interaction Architecture (Abstract),,7,https://www.notion.so/2aaf832e52ca80a9b2d1c56f0d2ecba9,Page Link,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,1,7 of 8,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,,,,,2,8
Multi-Layer Quality Recommendation Heatmap: Architecture & Implementation Plan,,8,https://www.notion.so/1cbcd2ca081448d38eb42368baea4fae,Page Link,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,1,8 of 8,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,,,,,2,8
Resolution Constraint: Control Volume Upper Bound,,1,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,Page Link,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,2,Only block link on parent page,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,,,3,1
The Breakdown Condition,### The Breakdown Condition,8,,Heading 3,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
Implications for Framework Flexibility,## Implications for Framework Flexibility,10,,Heading 2,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
Critical Limitation equation,"w_mwt <= min_{i,k} w_{i,k} where N_{i,k} is a leaf node",2,,Equation,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
Breakdown condition equation,"w_{i,k} < w_mwt => N_cv = 0",9,,Equation,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
Statement of Constraint,"Critical Limitation: When using the control volume approach (Approach B), the size of the discrete co...",1,,Heading 2,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
The Problem,## The Problem,4,,Heading 2,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
"Scenario: Coarse Control Volumes, Fine Document Structure","### Scenario: Coarse Control Volumes, Fine Document Structure",5,,Heading 3,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
Mathematical Formulation,## Mathematical Formulation,6,,Heading 2,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
Control Volume Discretization equation,"N_cv = floor(w_{i,k} / w_mwt)",7,,Equation,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
Divider 1,---,3,,Divider,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
Cross-Document Comparison Table,"Table comparing Documents A, B, C with smallest sections and maximum w_mwt values",11,,Table,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
Boundary Condition resolution constraint,w_mwt <= w(N) for node to be toneable,17,,Equation,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
Constraint Formula equation,w_mwt^max = min_{N in L} w(N),13,,Equation,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
Control Volume resolution constraint,w_mwt <= min_{N in L} w(N),18,,Equation,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
Comparison: Boundary Condition vs Control Volume,## Comparison: Boundary Condition vs. Control Volume,16,,Heading 2,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
Handling Strategies,## Handling Strategies,14,,Heading 2,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
Summary Table,Comparison table of properties between Boundary Condition and Control Volume approaches,19,,Table,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
Adaptive Control Volumes formula,"N_cv = max(1, floor(w_{i,k} / w_mwt))",15,,Equation,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
Practical Recommendations,## Practical Recommendations,20,,Heading 2,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
Detailed Example,## Detailed Example,12,,Heading 2,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,3,,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Conceptual Review: Minimum Compositional Unit — Boundary Condition vs. Discrete Control Volume,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,Resolution Constraint: Control Volume Upper Bound,https://www.notion.so/6fa362dc673a43cf953d19dd63ab3b47,4,
